Go on.,Poursuis.
He was put in a cell.,Il a été placé en isolement.
He was put in prison.,Il a été envoyé en prison.
He was shot to death.,Il a été tué par balle.
He was sitting there.,Il s'asseyait là.
He wasn't even there.,Il n'y était même pas.
He went duck hunting.,Il est allé à la chasse aux canards.
He went to bed early.,Il se mit au lit tôt.
He went to bed early.,Il est allé tôt au lit.
He went to the store.,Il a été au magasin.
He will be back soon.,Il reviendra rapidement.
He will be here soon.,Il sera bientôt là.
He will study French.,Il apprendra le français.
He works as a busboy.,Il travaille comme garçon de salle.
He works at the bank.,Il travaille à la banque.
He would not approve.,Il ne l'approuverait pas.
He wrote me a letter.,Il m'a écrit une lettre.
He's a bad influence.,Il a une mauvaise influence.
He's a computer nerd.,C'est un informaticien boutonneux.
He's a control freak.,C'est un malade du contrôle.
He's a control freak.,C'est un maniaque du contrôle.
He's a famous artist.,C'est un artiste célèbre.
He's a hopeless case.,Il est sans espoir.
He's a nervous wreck.,C'est une boule de nerfs.
He's a nervous wreck.,Il est nerveusement usé.
He's a smooth talker.,C'est un beau parleur.
He's a smooth talker.,C'est un baratineur.
He's a tennis player.,Il est joueur de tennis.
He's a very nice boy.,C'est un très gentil garçon.
He's a very nice boy.,C'est un très chouette garçon.
He's a very nice boy.,C'est un garçon très gentil.
He's a very nice boy.,C'est un garçon très chouette.
He's afraid to dance.,Il a peur de danser.
He's already married.,Il est déjà marié.
He's crazy about her.,Il est fou d'elle.
He's crazy about her.,Il est follement épris d'elle.
He's eating an apple.,Il est en train de manger une pomme.
He's eight years old.,Il a huit ans.
He's extremely happy.,Il est extrêmement heureux.
He's got lung cancer.,Il a le cancer des poumons.
He's greedy and lazy.,Il est avide et paresseux.
He's in grave danger.,Il est en danger grave.
He's mad at everyone.,Il est en colère après tout le monde.
He's making progress.,Il fait des progrès.
He's missed the boat.,Il a loupé le coche.
He's my half-brother.,Il est mon demi-frère.
He's my half-brother.,C'est mon demi-frère.
He's never satisfied.,Il n'est jamais satisfait.
He's not in the mood.,Il n'est pas d'humeur.
He's now on the boat.,Il est maintenant sur le bateau.
He's offered to help.,Il a offert son assistance.
He's on his way home.,Il est sur le chemin de son domicile.
He's one of the best.,C'est l'un des meilleurs.
He's one of the best.,Il est l'un des meilleurs.
He's out of position.,Il n'est pas à sa place.
He's out of practice.,Il manque de pratique.
He's out of practice.,Il est rouillé.
He's smarter than me.,Il est plus intelligent que moi.
He's taking a shower.,Il est en train de prendre une douche.
He's the class clown.,C'est le pitre de la classe.
He's too old for her.,Il est trop vieux pour elle.
He's too old for you.,Il est trop vieux pour toi.
He's too old for you.,Il est trop vieux pour vous.
He's under the chair.,Il est sous la chaise.
He's very protective.,Il est très protecteur.
Her daughter is sick.,Sa fille est malade.
Her name was unknown.,Son nom était inconnu.
Here are the tickets.,Voilà les billets.
Here comes the train.,Voilà le train.
Here's a better idea.,Voici une meilleure idée.
Here's a yellow rose.,Voici une rose jaune.
Here's the best part.,Voici la meilleure partie.
Here's what we found.,Voici ce que nous avons trouvé.
"Hey, guys. What's up?","Hé, les mecs ! Quoi de neuf ?"
"Hey, guys. What's up?","Hé, les gars ! Quoi de neuf ?"
"Hey, it's not so bad.","Hé, c'est pas si mal !"
"Hey, what's going on?","Eh, qu'est-ce qu'il se passe ?"
"Hey, what's going on?","Eh, qu'est-ce qu'il y a ?"
Hey. What's going on?,Eh bien ! Que se passe-t-il ?
"Hi everyone, I'm Tom.","Salut tout le monde, je suis Tom."
His blood is boiling.,Son sang bout.
His book inspired me.,Son livre m'inspira.
His book inspired me.,Son livre m'a inspiré.
His daughter is sick.,Sa fille est malade.
His face turned pale.,Son visage pâlit.
His hands feel rough.,Ses mains sont rugueuses.
His memory amazes me.,Sa mémoire me surprend.
His mother was right.,Sa mère avait raison.
His nose is bleeding.,Il saigne du nez.
His parents loved me.,Ses parents m'adoraient.
His teeth were white.,Ses dents furent blanches.
His teeth were white.,Ses dents ont été blanches.
How about your place?,Que dirais-tu de chez toi ?
How am I still alive?,Comment suis-je encore en vie ?
How are things going?,Comment les choses se déroulent-elles ?
How are your parents?,Comment vont tes parents ?
How are your parents?,Comment vont vos parents ?
How beautiful she is!,Comme elle est belle !
How beautiful she is!,Qu'elle est belle !
How big is this park?,Quelle taille fait ce parc ?
How big is your room?,Quelle taille fait ta chambre ?
How big is your yard?,Quelle est la taille de votre jardin ?
How big is your yard?,Quelle taille fais ton jardin ?
How can this be done?,Comment cela peut-il être fait ?
How can this be done?,De quelle manière peut-on le faire ?
How can this be real?,Comment ceci peut-il être réel ?
How can this be true?,Comment cela peut-il être vrai ?
How can we thank you?,Comment pouvons-nous te remercier ?
How can we thank you?,Comment pouvons-nous vous remercier ?
How can you eat that?,Comment pouvez-vous manger cela ?
How can you eat that?,Comment peux-tu manger ça ?
How can you not know?,Comment peux-tu l'ignorer ?
How can you not know?,Comment pouvez-vous l'ignorer ?
How can you not know?,Comment parviens-tu à l'ignorer ?
How can you not know?,Comment parvenez-vous à l'ignorer ?
How can you say that?,Comment peux-tu dire ça ?
How can you say that?,Comment pouvez-vous dire cela ?
How can you stand it?,Comment peux-tu supporter ça ?
How can you stand it?,Comment est-ce que tu peux supporter ça ?
How could we do that?,Comment pourrions-nous faire ça ?
How could we do that?,Comment pourrait-on faire ça ?
How could we not win?,Comment pourrions-nous ne pas gagner ?
How could we not win?,Comment pourrions-nous ne pas l'emporter ?
How deep is the lake?,Quelle est la profondeur du lac ?
How did it all begin?,Comment tout a commencé ?
How did it get there?,Comment est-ce arrivé là ?
How did it get there?,Comment cela a-t-il atterri là ?
How did they do that?,Comment ont-ils fait ça ?
How did they do that?,Comment ont-elles fait cela ?
How did you find out?,Comment l'avez-vous découvert ?
How did you find out?,Comment l'as-tu découvert ?
How did you get here?,Comment es-tu arrivée ici ?
How did you get here?,Comment es-tu parvenu ici ?
How did you get here?,Comment es-tu parvenue ici ?
How did you get here?,Comment êtes-vous parvenu ici ?
How did you get here?,Comment êtes-vous parvenus ici ?
How did you get here?,Comment êtes-vous parvenue ici ?
How did you get here?,Comment êtes-vous parvenues ici ?
How did you get hurt?,Comment vous êtes-vous blessé ?
How did you get hurt?,Comment vous êtes-vous blessés ?
How did you get hurt?,Comment vous êtes-vous blessée ?
How did you get hurt?,Comment vous êtes-vous blessées ?
How did you get hurt?,Comment t'es-tu blessé ?
How did you get hurt?,Comment t'es-tu blessée ?
How did you get them?,Comment te les es-tu procurés ?
How did you get them?,Comment te les es-tu procurées ?
How did you get them?,Comment as-tu mis la main dessus  ?
How did you meet him?,Comment l'avez-vous rencontré ?
How did you meet him?,Comment l'as-tu rencontré ?
How did you two meet?,Comment vous êtes-vous tous deux rencontrés ?
How did your test go?,Comment s'est déroulé ton examen ?
How did your test go?,Comment s'est déroulé votre examen ?
How do parents do it?,Comment les parents le font-ils ?
How do you know that?,Comment le sais-tu ?
How do you like that?,Qu'en penses-tu ?
How do you want them?,Comment les veux-tu ?
How far are we going?,Jusqu'à quel point allons-nous ?
How far are we going?,Jusqu'où allons-nous ?
How fast does he run?,À quelle vitesse court-il?
How hard can that be?,De quelle difficulté cela peut-il être ?
How high is Mt. Fuji?,Quelle hauteur a le mont Fuji ?
How high is Mt. Fuji?,De quelle hauteur est le mont Fuji ?
How is that possible?,Comment est-ce possible ?
How is that possible?,Comment cela se peut-il ?
How is this possible?,Comment est-ce possible ?
How is this possible?,Comment cela est-il possible ?
How is this possible?,Comment cela se peut-il ?
How is this relevant?,En quoi est-ce pertinent ?
How is your daughter?,Comment va ta fille ?
How is your daughter?,Comment va votre fille ?
How is your daughter?,Comment se porte votre fille ?
How is your daughter?,Comment se porte ta fille ?
How long did I sleep?,Combien de temps ai-je dormi ?
How long did I sleep?,Combien de temps ai-je sommeillé ?
How long did it last?,Combien de temps cela a-t-il duré ?
How long did it take?,Combien de temps cela a-t-il pris ?
How long have we got?,De combien de temps disposons-nous ?
How many did you get?,Combien en as-tu eu ?
How many did you get?,Combien en as-tu obtenu ?
How many did you get?,Combien en avez-vous eu ?
How many did you get?,Combien en avez-vous obtenu ?
How many do you need?,Tu as besoin de combien ?
How many people died?,Combien de personnes sont-elles décédées ?
How many people died?,Combien de personnes sont mortes ?
How much can you bet?,Combien peux-tu parier ?
How much did it cost?,Combien ça a coûté ?
How much did you pay?,Combien as-tu payé ?
How much did you pay?,Combien avez-vous payé ?
How much did you win?,Combien as-tu gagné ?
How much did you win?,Combien avez-vous gagné ?
How much do you want?,Combien en veux-tu ?
How much do you want?,Combien en voulez-vous ?
How much is an apple?,Combien coûte une pomme ?
How much is one beer?,"C'est combien, une bière ?"
How much is the rent?,Combien coûte le loyer ?
How much is the rent?,À combien se monte le loyer ?
How much is this hat?,Quel est le prix de ce chapeau ?
How much is this pen?,Combien coûte ce stylo ?
How much is this tie?,Combien coûte cette cravate ?
How old are the kids?,Quel âge ont les enfants ?
How old is this book?,Quel âge a ce livre?
How old is this book?,De quand date ce livre?
How old is this tree?,Cet arbre a quel âge ?
How old is this tree?,Quel âge a cet arbre ?
How should I respond?,Que devrais-je rétorquer ?
How thin is too thin?,"Trop maigre, c'est quoi ?"
How was school today?,"Comment s'est passée l'école, aujourd'hui ?"
How was today's game?,Comment était le match d'aujourd'hui ?
How was today's game?,Comment était la partie d'aujourd'hui ?
How was your holiday?,Comment se sont passées tes vacances ?
How was your meeting?,Comment s'est passée ta réunion ?
How was your meeting?,Comment s'est passée votre réunion ?
How was your weekend?,Comment était ton weekend ?
How would you fix it?,Comment voudrais-tu réparer ça ?
How's everyone doing?,Comment va tout le monde ?
How's the water here?,"Comment est l'eau, ici ?"
How's your boy doing?,Comment s'en sort votre garçon ?
How's your boy doing?,Comment s'en sort ton garçon ?
How's your day going?,Comment se déroule ta journée ?
How's your day going?,Comment se déroule votre journée ?
How's your job going?,Comment va ton travail ?
How's your kid doing?,Comment s'en sort votre gosse ?
How's your kid doing?,Comment s'en sort ton gosse ?
"How's your wife, Tom?","Comment va ta femme, Tom ?"
"How's your wife, Tom?","Comment va votre femme, Tom ?"
Human life is sacred.,La vie humaine est sacrée.
Hurry up! We're late.,Dépêche-toi ! Nous sommes en retard.
I abandoned my plans.,J'ai abandonné mes plans.
I accepted the offer.,J'ai accepté l'offre.
I actually like that.,"J'aime ça, en fait."
I admire her efforts.,J'admire ses efforts.
I admire your talent.,J'admire ton talent.
I admire your talent.,J'admire votre talent.
I agree to this plan.,J'approuve ce projet.
I almost believe you.,Je vous crois presque.
I almost believe you.,Je te crois presque.
I already called him.,Je l'ai déjà appelé.
I already tried that.,J'ai déjà essayé ça.
I also like painting.,J'aime également peindre.
I always believe you.,Je te crois toujours.
I always believe you.,Je vous crois toujours.
I always feel hungry.,J'ai toujours faim.
I always feel sleepy.,J'ai toujours sommeil.
I am a stranger here.,"Ici, je suis un étranger."
I am a stranger here.,Je suis étranger ici.
I am a stranger here.,Je suis un étranger ici.
I am a stranger here.,"Je suis un étranger, ici."
I am afraid of bears.,J'ai peur des ours.
I am afraid of death.,J'ai peur de la mort.
I am afraid of dying.,J'ai peur de mourir.
I am better than you.,Je suis meilleur que toi.
I am counting on you.,Je compte sur toi.
I am eating an apple.,Je mange une pomme.
I am forced to do it.,Je suis contraint à le faire.
I am getting dressed.,Je me vêts.
I am glad to see her.,Je suis contente de la voir.
I am glad to see her.,Je suis content de la voir.
I am learning Basque.,J'apprends le basque.
I am looking at that.,Je regarde ça.
I am no longer tired.,Je ne suis plus fatigué.
I am no longer tired.,Je ne suis plus fatiguée.
I am not well at all.,Je ne vais pas bien du tout.
I am playing it safe.,Je joue prudemment.
I am poor at drawing.,Je suis mauvais en dessin.
I am telling a story.,Je conte une histoire.
I am terribly hungry.,J'ai terriblement faim.
I am wasting my time.,Je suis en train de perdre mon temps.
I am weighing myself.,Je suis en train de me peser.
I answered the phone.,J'ai répondu au téléphone.
I apologize for that.,Je vous présente mes excuses pour cela.
I apologize for that.,Je te présente mes excuses pour cela.
I apologize for this.,Je m'en excuse.
I applied for a visa.,J'ai sollicité un visa.
I asked him his name.,Je me suis enquis de son nom.
I asked him his name.,Je me suis enquise de son nom.
I asked him his name.,Je lui ai demandé son nom.
I ate a lot of pizza.,J'ai mangé beaucoup de pizza.
I ate a slice of ham.,J'ai mangé une tranche de jambon.
I ate lunch with Tom.,J'ai déjeuné avec Tom.
I ate too much today.,J'ai trop mangé aujourd'hui.
I awoke from a dream.,Je me réveillai d'un rêve.
I awoke on the floor.,Je me suis réveillé sur le sol.
I baked some cookies.,J'ai confectionné des biscuits.
I bear him no malice.,Je n'ai aucune malveillance à son égard.
I beg you to help me.,Je vous supplie de m'aider.
